,index,state,county,latitude,longitude
1087,1087,LA,Caldwell,32.0473845,-92.158722
1088,1088,LA,Cameron,29.815113,-93.1959625
1089,1089,LA,Catahoula,31.7324371667,-91.8168621667
1090,1090,LA,Claiborne,32.811797,-92.949056
1091,1091,LA,Concordia,31.5050626667,-91.6522816667
1092,1092,LA,De Soto,32.0862701111,-93.8015027778
1093,1093,LA,East Baton Rouge,30.4881344783,-91.0947074565
1094,1094,LA,East Carroll,32.779679,-91.2376573333
1095,1095,LA,East Feliciana,30.8517563333,-91.0799845
1096,1096,LA,Evangeline,30.744008875,-92.397396625
1097,1097,LA,Franklin,32.098542625,-91.689086625
1098,1098,LA,Grant,31.5825882857,-92.5600191429
1099,1099,LA,Iberia,29.951028,-91.7591742857
1100,1100,LA,Iberville,30.2921342,-91.286116
1101,1101,LA,Jackson,32.300065,-92.572684
1102,1102,LA,Jefferson,29.7865226364,-90.1158191212
1103,1103,LA,Jefferson Davis,30.3003378571,-92.7984575714
1104,1104,LA,La Salle,31.7672858,-92.2220318
1105,1105,LA,Lafayette,30.2034597222,-92.0542485
1106,1106,LA,Lafourche,29.5885831667,-90.4804738333
1107,1107,LA,Lincoln,32.5794275714,-92.6704618571
1108,1108,LA,Livingston,30.4495083636,-90.7867275455
1109,1109,LA,Madison,32.3719293333,-91.165817
1110,1110,LA,Morehouse,32.7906802857,-91.7501482857
1111,1111,LA,Natchitoches,31.7205734706,-93.0873861765
1112,1112,LA,Orleans,30.0125888793,-89.9411846207
