State,County,Votes_Norm,Trump_Votes,Hillary_Votes,Independent_Votes,Total_Votes,Trump_Perc,Hillary_Perc,Independent_Perc
colorado,Eagle County,-0.19899999999999998,8153.0,12652.0,1806.0,22611.0,36.1,56.0,7.7
colorado,El Paso County,0.225,176506.0,105807.0,30960.0,313273.0,56.3,33.8,9.6
colorado,Elbert County,0.54,11536.0,3056.0,1097.0,15689.0,73.5,19.5,6.9
colorado,Fremont County,0.44800000000000006,15066.0,5275.0,1539.0,21880.0,68.9,24.1,6.7
colorado,Garfield County,0.07,13071.0,11205.0,2052.0,26328.0,49.6,42.6,7.7
colorado,Gilpin County,-0.01900000000000006,1564.0,1634.0,376.0,3574.0,43.8,45.7,10.5
colorado,Grand County,0.135,4467.0,3319.0,727.0,8513.0,52.5,39.0,8.4
colorado,Gunnison County,-0.196,3250.0,5068.0,981.0,9299.0,34.9,54.5,10.4
colorado,Hinsdale County,0.24200000000000002,339.0,197.0,53.0,589.0,57.6,33.4,9.2
colorado,Huerfano County,0.065,1875.0,1631.0,266.0,3772.0,49.7,43.2,7.0
colorado,Jackson County,0.5310000000000001,628.0,171.0,63.0,862.0,72.9,19.8,7.3
colorado,Jefferson County,-0.07,130233.0,151885.0,27411.0,309529.0,42.1,49.1,8.6
colorado,Kiowa County,0.7439999999999999,726.0,91.0,36.0,853.0,85.1,10.7,4.2
colorado,Kit Carson County,0.655,2894.0,526.0,193.0,3613.0,80.1,14.6,5.2
colorado,La Plata County,-0.09199999999999996,12471.0,15300.0,2951.0,30722.0,40.6,49.8,9.4
colorado,Lake County,-0.10600000000000001,1264.0,1600.0,311.0,3175.0,39.8,50.4,9.6
colorado,Larimer County,-0.04899999999999999,82624.0,92170.0,19103.0,193897.0,42.6,47.5,9.6
colorado,Las Animas County,0.155,3656.0,2614.0,423.0,6693.0,54.6,39.1,6.3
colorado,Lincoln County,0.614,1873.0,399.0,130.0,2402.0,78.0,16.6,5.2
colorado,Logan County,0.56,7272.0,1843.0,587.0,9702.0,75.0,19.0,6.2
colorado,Mesa County,0.363,48129.0,20958.0,5789.0,74876.0,64.3,28.0,7.6
colorado,Mineral County,0.165,344.0,237.0,71.0,652.0,52.8,36.3,11.0
colorado,Moffat County,0.6789999999999999,5293.0,874.0,343.0,6510.0,81.3,13.4,5.2
colorado,Montezuma County,0.30300000000000005,7771.0,3920.0,1015.0,12706.0,61.2,30.9,7.8
colorado,Montrose County,0.4210000000000001,14303.0,5438.0,1329.0,21070.0,67.9,25.8,6.4
colorado,Morgan County,0.41900000000000004,8104.0,3128.0,656.0,11888.0,68.2,26.3,5.6
colorado,Otero County,0.25199999999999995,2988.0,1719.0,331.0,5038.0,59.3,34.1,6.5
colorado,Ouray County,-0.10699999999999996,1337.0,1690.0,260.0,3287.0,40.7,51.4,7.7
colorado,Park County,0.264,6053.0,3351.0,841.0,10245.0,59.1,32.7,7.9
colorado,Phillips County,0.581,1791.0,436.0,105.0,2332.0,76.8,18.7,4.5
colorado,Pitkin County,-0.45400000000000007,2522.0,7239.0,626.0,10387.0,24.3,69.7,5.9
colorado,Prowers County,0.469,3508.0,1173.0,297.0,4978.0,70.5,23.6,6.0
colorado,Pueblo County,-0.0029999999999999714,27746.0,27945.0,4421.0,60112.0,46.2,46.5,7.2
colorado,Rio Blanco County,0.684,2782.0,433.0,221.0,3436.0,81.0,12.6,6.3
colorado,Rio Grande County,0.19599999999999995,3060.0,1985.0,443.0,5488.0,55.8,36.2,8.0
colorado,Routt County,-0.17,5149.0,7487.0,1136.0,13772.0,37.4,54.4,7.9
colorado,Saguache County,-0.08700000000000002,1109.0,1345.0,253.0,2707.0,41.0,49.7,9.1
colorado,San Juan County,-0.09899999999999999,215.0,265.0,26.0,506.0,42.5,52.4,5.2
colorado,San Miguel County,-0.44800000000000006,1030.0,2960.0,321.0,4311.0,23.9,68.7,7.2
colorado,Sedgwick County,0.548,1015.0,267.0,82.0,1364.0,74.4,19.6,6.1
colorado,Summit County,-0.277,5064.0,9502.0,1495.0,16061.0,31.5,59.2,9.0
colorado,Teller County,0.425,9580.0,3547.0,1076.0,14203.0,67.5,25.0,7.4
colorado,Washington County,0.736,2284.0,289.0,135.0,2708.0,84.3,10.7,4.8
colorado,Weld County,0.22400000000000006,75882.0,45869.0,12039.0,133790.0,56.7,34.3,8.8
colorado,Yuma County,0.655,3755.0,701.0,208.0,4664.0,80.5,15.0,4.4
connecticut,Fairfield County,-0.171,128534.0,184261.0,13361.0,326156.0,39.4,56.5,4.1
connecticut,Hartford County,-0.21299999999999997,146004.0,229719.0,17264.0,392987.0,37.2,58.5,4.4
